rating,date,review
4.0,2025.10.09.,"went during Chuseok, and admission was free. very crowded. the walkways weren't very stroller friendly (large uneven stone road), but they do have accessible ramps

would love to come back at night 접기"
5.0,2025.10.06.,"Been there 4 times, I guess it speaks for itself.  I'm sure there will be 5th and 6th and so on.."
5.0,2025.10.04.,"야간 개장했을때 몇 년전 핸드폰으로 찍었던 사진들이네요.. 상시 야간 개장을 했으면 좋겠습니다..
이 좋고 멋진 곳을 6시에 종료라뇨…"
5.0,2025.09.27.,"매일보지만
조선왕들은 별로 안좋아했다지만
아직 여기가 한국 일등 관광지"
5.0,2025.09.26.,"야간관람 후기
금요일 저녁 7시 좀 넘어서 입장했는데 사람 너무 많아서 기빨림 ㅜㅜ
풍경은 아름답지만 사람 너무 많아서 사진 찍기도 애매함
그리고 이 왕과 왕비 등 사진 같이 찍는 거 순식간에 마감됨 바로 줄설 것을 추천함
최애 스팟 경회루 접기"
5.0,2025.09.25.,야간개장 강추
5.0,2025.09.13.,케데헌 때문인지 외국인들이 많아요 암튼 예뻐요
5.0,2025.08.24.,좋아요.
5.0,2025.08.24.,"입장료 3천원
일요일이라 그런지 대부분 외국인이네요.
근정전과 경회루가 멋집니다.
 접기"
5.0,2025.08.06.,굿굿  진짜 경복궁은 언제가도 최고인것같아요 광화문 경복궁 청와대까지 즐거운 투어였습니다
5.0,2025.08.01.,서울에 처음 왔다면 필수코스
5.0,2025.07.28.,"경복궁 별빛야행 
인생에 꼭 한 번은 가보면 좋을 경험입니다"
